date,games_in_data,best_val_brier,champion_val_brier,champion_test_brier,market_test_brier,new_champion
2026-07-06,7261,0.2264,0.2264,0.2155,0.2059,True
2026-07-06,7261,0.2239,0.2239,0.2143,0.2059,True
2026-07-06,7261,0.2239,0.2239,0.2143,0.2059,True
